Tip Matrice,Nr threads,Timp executie
10,0,134.06443
10,2,80.99098
10,4,81.53348
10,8,83.53977
10,16,81.9244
10,0,74.97917
10,2,77.39739
10,4,81.87967
10,8,84.17124
10,16,85.62264
1000,0,123.48649
1000,2,105.07961
1000,4,102.24462
1000,8,91.41077
1000,16,101.70014
10000,0,6657.64343333333
10000,2,3277.65063333333
10000,4,2631.1375
10000,8,1592.9801
10000,16,1604.92453333333
