Tip Matrice,Tip alocare,Nr threads,Timp executie
,,sec,0.00913
,,2,0.89068
,,sec,61.72708
,,2,40.98526
,,4,25.09992
,,8,22.34277
,,16,15.31637
,,sec,6353.104
,,2,4214.562
,,4,2400.499
,,8,1569.965
,,16,1146.559
